# T/J Gamma
0.05 1
0.1 1
0.15 1
0.2 1
0.25 1
0.3 1
0.35 1
0.4 1
0.45 1
0.5 1.00001
0.55 1.00002
0.6 1.00003
0.65 1.00006
0.7 1.00012
0.75 1.00023
0.8 1.00045
0.85 1.00091
0.9 1.00231
0.95 1.00934
1 1.24869
1.05 2.06244
1.1 2.03823
1.15 2.02425
1.2 1.99466
1.25 2.01588
1.3 1.98026
1.35 1.99379
1.4 2.01952
1.45 2.0008
1.5 2.01677
1.55 2.01856
1.6 1.98048
1.65 2.00461
1.7 1.94369
1.75 2.01041
1.8 1.98244
1.85 1.99634
1.9 2.0097
1.95 1.97257
2 2.00073
2.05 1.96253
2.1 2.00768
2.15 2.01346
2.2 2.02898
2.25 1.97309
2.3 1.97127
2.35 1.96774
2.4 2.00148
2.45 2.02355
2.5 1.95084
