# T/J Gamma
0.05 1
0.1 1
0.15 1
0.2 1
0.25 1
0.3 1
0.35 1
0.4 1.00001
0.45 1.00004
0.5 1.0001
0.55 1.00026
0.6 1.00056
0.65 1.00104
0.7 1.00181
0.75 1.00352
0.8 1.00669
0.85 1.01273
0.9 1.0291
0.95 1.06537
1 1.15366
1.05 1.32947
1.1 1.5334
1.15 1.73335
1.2 1.86883
1.25 1.95818
1.3 1.9686
1.35 1.95438
1.4 1.97417
1.45 2.01775
1.5 1.9911
1.55 1.9782
1.6 1.96288
1.65 1.97248
1.7 1.99092
1.75 1.99489
1.8 1.99336
1.85 1.95045
1.9 1.99319
1.95 1.95486
2 1.98743
2.05 2.01722
2.1 1.9718
2.15 1.9873
2.2 1.98063
2.25 1.9475
2.3 1.98136
2.35 1.95597
2.4 1.98644
2.45 1.9844
2.5 1.97549
